# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
BLUECROSS BLUESHIELD OF NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,8,83,97.4
BLUE CROSS BLUE SHIELD NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,4,83,96.1
BLUE CROSS BLUE SHEILD OF NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,2,83,97.5
BLUE CROSS BLUE SCHIELD OF NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,1,83,98.8
BLUECROSS BLUE SHIELD OF NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,1,83,98.7
BLUECROSSBLUESHIELD OF NORTH CAROLINA,BLUE CROSS BLUE SHIELD OF NORTH CAROLINA,1,83,96.1
FLORIDA DEPARTMENT OF TRANSPORATION,FLORIDA DEPARTMENT OF TRANSPORTATION,1,83,98.6
FLORIDA DEPARTMENT OF TRANPSORATION,FLORIDA DEPARTMENT OF TRANSPORTATION,1,83,95.8
PEN FED CREDIT UNION,PENFED CREDIT UNION,1,82,97.4
DICKS SPORTING GOODS,DICK S SPORTING GOODS,15,81,97.6
EDUCATION TESTING SERVICE,EDUCATIONAL TESTING SERVICE,3,81,96.2
PARAXEL INTERNATIONAL,PAREXEL INTERNATIONAL,3,81,95.2
DICKS S SPORTING GOODS,DICK S SPORTING GOODS,2,81,97.7
DICK S SPORTING GOOD,DICK S SPORTING GOODS,1,81,97.6
DEPARTMENT OF VETERANS AFFAIRS VA,DEPARTMENT OF VETERANS AFFAIRS,13,80,95.2
DEPARTMENT OF VETERAN S AFFAIRS,DEPARTMENT OF VETERANS AFFAIRS,7,80,98.4
FIDELITY NATIONAL INFORMATION SERVICES FIS,FIDELITY NATIONAL INFORMATION SERVICES,5,80,95.0
DEPARTMENT OF VETERANS AFFAIR,DEPARTMENT OF VETERANS AFFAIRS,3,80,98.3
FIS FIDELITY NATIONAL INFORMATION SERVICES,FIDELITY NATIONAL INFORMATION SERVICES,3,80,95.0
BILLINGS CLINIC HEALTH SYSTEMS,BILLINGS CLINIC HEALTH SYSTEM,3,80,98.3
TAKEDA PHARMACEUTIALS,TAKEDA PHARMACEUTICAL,2,80,95.2
STANDFORD UNIVERSITY,STANFORD UNIVERSITY,1,80,97.4
FIDELITY NATIONAL INFORMATION SERVICE FIS,FIDELITY NATIONAL INFORMATION SERVICES,1,80,96.2
XL CATLIN SERVICE SE,XL CATLIN SERVICES SE,2,79,97.6
HYUNDAI AUTOEVER AMERICA S,HYUNDAI AUTOEVER AMERICA,1,79,96.0
HYUNDAI AUTOAVER AMERICA,HYUNDAI AUTOEVER AMERICA,1,79,95.8
XL CATIN SERVICES SE,XL CATLIN SERVICES SE,1,79,97.6
CHEVRON TECHNICAL CENTER,CHEVRON TECHNICAL CENTRE,6,78,95.8
BANK OF AMERICA BOFA,BANK OF AMERICA BOA,6,78,97.4
HEALTHCARE SERVICE CORPORATION A MUTUAL LEGAL RESERVE,HEALTH CARE SERVICE CORPORATION A MUTUAL LEGAL RESERVE,4,78,99.1
LULULEMON ATLETICA,LULULEMON ATHLETICA,1,78,97.3
JPMORGAN AND CHASE,JP MORGAN AND CHASE,12,76,97.3
COX ENTERPRISE,COX ENTERPRISES,10,76,96.6
SYNCHRONY FINANCIALS,SYNCHRONY FINANCIAL,3,76,97.4
INTERNATIONAL BUSINESS MACHINE IBM,INTERNATIONAL BUSINESS MACHINES IBM,2,76,98.6
DFS CORPORATE SERVICE,DFS CORPORATE SERVICES,2,76,97.7
NEWTON COUNTY SCHOOL,NEWTON COUNTY SCHOOLS,2,76,97.6
SYNCRONY FINANCIAL,SYNCHRONY FINANCIAL,1,76,97.3
NEWTON COUNTY SHOOLS,NEWTON COUNTY SCHOOLS,1,76,97.6
UNITED SERVICES AUTOMABILE ASSOCIATION USAA,UNITED SERVICE AUTOMOBILE ASSOCIATION USAA,3,75,96.5
GENERAL DYNAMIC INFORMATION TECHNOLOGY,GENERAL DYNAMICS INFORMATION TECHNOLOGY,2,75,98.7
UNITED SERVICE AUTOMOBILE ASSOCIATION USSA,UNITED SERVICE AUTOMOBILE ASSOCIATION USAA,2,75,97.6
UNITED SERVICES AUTOMOBILE ASSOCIATION USSA,UNITED SERVICE AUTOMOBILE ASSOCIATION USAA,2,75,96.5
ADVANCED STORES,ADVANCE STORES,1,75,96.6
DEPARTMENT OF HEALTH CARE FINANCES DHCF,DC DEPARTMENT OF HEALTH CARE FINANCE DHCF,1,74,95.0
EST E LAUDER COMPANIES,ESTEE LAUDER COMPANIES,6,73,95.5
DALLAS COUNTRY HOSPITAL DISTRICT,DALLAS COUNTY HOSPITAL DISTRICT,1,73,98.4
ESTE LAUDER COMPANIES,ESTEE LAUDER COMPANIES,1,73,97.7
